id;call_back_url;codeNetwork;codePDA;codeSalePoint;codeService;date;destinataire;numTransFromPartenaire;loginAgent;message;montant;network_groupe_code;partner_dist_transaction_id;paymentMode;response_body;response_code;statut;token;compteur;request_body;request_query;notifUrl;ipAddress;hash
267155798;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-09-30 16:45:05";NULL;NULL;NULL;FAILED;NULL;NULL;1759248659539;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759248660167","status":"FAILED","partner_transaction_id":"1759248659539","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":"FAILED","commission":0.0}";200;FAILED;1759248660167;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759248660167","status":"FAILED","partner_transaction_id":"1759248659539","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","commission":0.0,"message":"FAILED"}";NULL;NULL;NULL;NULL
267255249;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-09-30 23:16:23";NULL;NULL;NULL;NULL;NULL;NULL;1759274168685;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759274169280","status":"SUCCESSFUL","partner_transaction_id":"1759274168685","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";200;SUCCESSFUL;1759274169280;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759274169280","status":"SUCCESSFUL","partner_transaction_id":"1759274168685","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
267316068;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;PAIEMENTMARCHANDOMQRCODE_MAXIT;"2025-10-01 09:38:47";NULL;NULL;NULL;"Transaction en echec chez le partenaire";NULL;NULL;1759247857613;NULL;"{"service_id":"PAIEMENTMARCHANDOMQRCODE_MAXIT","gu_transaction_id":"1759247859167","status":"FAILED","partner_transaction_id":"1759247857613","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":"Transaction en echec chez le partenaire","commission":0.0}";200;FAILED;1759247859167;0;"{"updateCallback":false,"service_id":"PAIEMENTMARCHANDOMQRCODE_MAXIT","gu_transaction_id":"1759247859167","status":"FAILED","partner_transaction_id":"1759247857613","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","commission":0.0,"message":"Transaction en echec chez le partenaire"}";NULL;NULL;34.118.204.197;NULL
267507317;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-02 08:55:52";NULL;NULL;NULL;NULL;NULL;NULL;1759395329209;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759395330466","status":"SUCCESSFUL","partner_transaction_id":"1759395329209","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";200;SUCCESSFUL;1759395330466;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759395330466","status":"SUCCESSFUL","partner_transaction_id":"1759395329209","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
267511535;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-02 09:25:18";NULL;NULL;NULL;FAILED;NULL;NULL;1759395263226;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759395265456","status":"FAILED","partner_transaction_id":"1759395263226","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":"FAILED","commission":0.0}";200;FAILED;1759395265456;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759395265456","status":"FAILED","partner_transaction_id":"1759395263226","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","commission":0.0,"message":"FAILED"}";NULL;NULL;NULL;NULL
267518865;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-02 10:15:04";NULL;NULL;NULL;NULL;NULL;NULL;1759400075928;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759400077736","status":"SUCCESSFUL","partner_transaction_id":"1759400075928","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";200;SUCCESSFUL;1759400077736;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759400077736","status":"SUCCESSFUL","partner_transaction_id":"1759400075928","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
267725500;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-03 10:31:30";NULL;NULL;NULL;NULL;NULL;NULL;cmgapek000001ibhzcu6w25hj;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759487462161","status":"SUCCESSFUL","partner_transaction_id":"cmgapek000001ibhzcu6w25hj","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";200;SUCCESSFUL;1759487462161;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759487462161","status":"SUCCESSFUL","partner_transaction_id":"cmgapek000001ibhzcu6w25hj","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
267726665;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-03 10:37:59";NULL;NULL;NULL;NULL;NULL;NULL;SAMA;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759487838953","status":"SUCCESSFUL","partner_transaction_id":"SAMA","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";500;SUCCESSFUL;1759487838953;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759487838953","status":"SUCCESSFUL","partner_transaction_id":"SAMA","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
268925124;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;PAIEMENTMARCHANDOMQRCODE_MAXIT;"2025-10-08 12:49:17";NULL;NULL;NULL;NULL;NULL;NULL;1759927728677;NULL;"{"service_id":"PAIEMENTMARCHANDOMQRCODE_MAXIT","gu_transaction_id":"1759927729422","status":"SUCCESSFUL","partner_transaction_id":"1759927728677","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":null,"commission":null}";200;SUCCESSFUL;1759927729422;0;"{"updateCallback":false,"service_id":"PAIEMENTMARCHANDOMQRCODE_MAXIT","gu_transaction_id":"1759927729422","status":"SUCCESSFUL","partner_transaction_id":"1759927728677","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical"}";NULL;NULL;NULL;NULL
268935146;http://localhost:8504/pda/touchpay/notification/callGenerical;NULL;NULL;***REMOVED***;SNPAIEMENTWAVE;"2025-10-08 13:30:01";NULL;NULL;NULL;FAILED;NULL;NULL;1759928180637;NULL;"{"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759928181336","status":"FAILED","partner_transaction_id":"1759928180637","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","message":"FAILED","commission":0.0}";200;FAILED;1759928181336;0;"{"updateCallback":false,"service_id":"SNPAIEMENTWAVE","gu_transaction_id":"1759928181336","status":"FAILED","partner_transaction_id":"1759928180637","call_back_url":"http://localhost:8504/pda/touchpay/notification/callGenerical","commission":0.0,"message":"FAILED"}";NULL;NULL;NULL;NULL
